 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
260	0274-0464	994.290	47.183	268	456	122.005	25.007	1	2	1
261	0275-0459	350.190	26.583	346	456	138.814	17.505	0	0	0
262	0277-0468	2088.634	68.026	470	479	53.973	45.974	1	2	1
263	0278-0468	1388.254	50.014	239	460	126.870	40.011	0	0	0
264	0279-0470	1063.077	48.102	366	479	62.103	27.507	0	0	0
265	0280-0473	1050.570	43.744	353	481	59.036	32.509	1	1	0
266	0281-0478	2213.702	61.049	327	488	55.008	50.014	0	0	0
267	0282-0476	1400.760	52.036	444	485	54.782	40.011	1	2	1
268	0283-0475	594.073	35.541	401	471	140.711	22.506	0	0	0
269	0284-0482	1550.842	59.650	421	472	123.024	36.910	0	0	0
270	0286-0484	2945.349	77.883	153	496	42.397	57.516	1	1	0
271	0287-0484	994.290	47.183	247	480	147.995	29.916	0	0	0
272	0288-0485	525.285	34.013	316	491	53.973	20.005	0	0	0
273	0289-0491	1838.498	57.024	383	499	52.125	42.512	0	0	0
274	0290-0492	2019.847	64.535	407	482	125.538	45.012	1	2	1
275	0292-0499	800.435	41.014	439	505	37.569	27.507	0	1	1
276	0293-0505	637.846	37.510	368	510	36.870	22.506	1	1	0
