 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
438	I/IIa	2190.253	71.198	1731	1298	159.974	42.512	NaN
439	I/IIa	876.648	47.332	1966	1318	12.200	25.756	NaN
440	I/IIa	1636.827	52.040	683	1293	106.040	45.637	NaN
441	I/IIa	1748.607	66.315	1283	1299	134.236	37.133	NaN
442	IIa	1956.923	94.254	1587	1370	28.095	34.207	NaN
443	IIb	175.877	19.310	1226	1301	119.055	12.472	NaN
444	I	2371.993	76.639	351	1427	84.382	47.875	NaN
445	IIb	27.749	7.528	1247	1316	131.634	5.001	NaN
446	IIx	2298.124	85.794	500	1456	86.658	40.011	NaN
447	I/IIa	2299.297	72.544	557	1415	38.351	39.562	NaN
448	IIb	98.882	13.768	1192	1330	140.528	10.478	NaN
449	I/IIa	1926.438	69.913	1129	1340	121.842	38.558	NaN
450	I/IIa	520.205	41.323	816	1343	162.387	17.644	NaN
451	I/IIa	2029.228	64.502	1910	1346	146.464	45.888	NaN
452	IIb	71.132	12.659	895	1334	122.905	8.127	NaN
453	IIb	72.696	15.441	1213	1337	158.629	6.252	NaN
454	I/IIa	1849.052	75.800	1247	1341	114.874	31.606	NaN
455	I	580.785	39.485	743	1340	113.318	23.053	NaN
456	I/IIa	1838.109	65.702	1372	1340	116.565	45.385	NaN
457	I/IIa	2234.418	70.876	1814	1365	149.816	48.576	NaN
458	I/IIa	1133.820	56.560	1093	1435	76.578	28.201	NaN
459	I/IIa	1619.240	62.732	1201	1351	119.887	37.359	NaN
460	I/IIa	962.242	50.735	807	1358	157.543	30.718	NaN
461	I/IIa	2171.102	63.189	993	1392	152.928	53.139	NaN
462	I/IIa	375.595	26.383	416	1366	13.707	19.380	NaN
463	I	1406.233	52.844	904	1438	79.089	35.210	NaN
464	I/IIa	1942.853	80.802	1599	1387	10.701	36.064	NaN
465	I	49.636	10.936	654	1360	149.036	6.252	NaN
466	I/IIa	2011.641	68.086	1511	1363	103.271	41.163	NaN
467	IIb	88.720	17.075	887	1389	66.251	6.823	NaN
468	I/IIa	1477.757	55.840	1458	1449	68.318	37.958	NaN
469	I	1541.854	64.903	368	1464	69.121	30.090	NaN
470	IIa	2083.164	63.516	1720	1402	173.784	44.269	NaN
471	I/IIa	2014.767	78.146	607	1472	53.130	35.892	NaN
472	I/IIa	1919.403	76.058	1299	1370	141.340	42.442	NaN
