 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
155	Fiber Borders:0166-0238	13.333	5.270	485	233	145.305	3.333	NaN
156	Fiber Borders:0167-0243	25.667	7.008	13	234	115.346	4.667	NaN
157	Fiber Borders:0169-0240	20.444	7.008	266	235	154.654	3.667	NaN
158	Fiber Borders:0170-0251	30.222	8.944	405	239	116.565	5.000	NaN
159	Fiber Borders:0172-0251	30.444	9.220	478	241	130.601	5.067	NaN
160	Fiber Borders:0174-0250	27.444	7.557	333	242	131.424	5.667	NaN
161	Fiber Borders:0175-0252	34.444	8.069	303	243	141.710	6.000	NaN
162	Fiber Borders:0176-0254	32.889	7.341	257	264	39.472	6.000	NaN
163	Fiber Borders:0177-0256	18.889	6.263	437	248	115.201	4.000	NaN
164	Fiber Borders:0178-0257	21.889	6.839	387	264	43.025	4.667	NaN
165	Fiber Borders:0179-0265	66.778	13.956	120	280	40.156	8.534	NaN
166	Fiber Borders:0180-0258	26.556	8.433	159	253	161.565	4.000	NaN
167	Fiber Borders:0181-0262	48.778	12.333	84	265	18.925	5.820	NaN
168	Fiber Borders:0182-0259	21.000	6.403	452	253	141.340	4.333	NaN
169	Fiber Borders:0183-0262	25.556	7.087	365	254	131.186	5.333	NaN
170	Fiber Borders:0184-0265	23.556	6.566	244	274	66.038	4.333	NaN
171	Fiber Borders:0185-0272	39.000	8.800	353	260	114.624	6.102	NaN
172	Fiber Borders:0186-0271	35.000	7.491	191	261	110.854	6.000	NaN
173	Fiber Borders:0187-0276	64.667	11.402	330	261	127.875	8.333	NaN
174	Fiber Borders:0188-0271	12.000	5.375	303	264	119.745	2.667	NaN
175	Fiber Borders:0189-0269	12.111	5.207	493	265	140.194	3.659	NaN
176	Fiber Borders:0190-0271	22.000	7.211	55	277	33.690	4.000	NaN
177	Fiber Borders:0191-0272	20.000	5.935	267	268	141.843	4.667	NaN
178	Fiber Borders:0192-0277	50.222	10.382	385	286	42.397	8.000	NaN
179	Fiber Borders:0193-0274	20.000	6.708	413	265	116.565	3.667	NaN
180	Fiber Borders:0194-0284	83.000	14.610	470	265	117.150	8.117	NaN
181	Fiber Borders:0195-0276	28.111	8.233	18	266	121.759	4.667	NaN
182	Fiber Borders:0196-0272	12.333	5.676	145	279	49.764	3.421	NaN
183	Fiber Borders:0197-0278	42.222	9.735	285	268	128.047	6.568	NaN
184	Fiber Borders:0198-0277	34.778	8.360	424	266	113.499	5.667	NaN
185	Fiber Borders:0199-0272	14.889	5.548	166	267	147.265	3.667	NaN
186	Fiber Borders:0200-0276	19.889	6.574	452	268	120.466	3.667	NaN
187	Fiber Borders:0201-0277	18.556	6.263	313	286	64.799	3.667	NaN
188	Fiber Borders:0202-0282	53.444	10.339	72	280	159.228	7.333	NaN
189	Fiber Borders:0203-0277	16.222	5.676	107	271	130.236	4.000	NaN
190	Fiber Borders:0204-0281	18.000	6.009	154	289	56.310	4.333	NaN
191	Fiber Borders:0205-0284	30.444	8.028	125	293	41.634	6.210	NaN
192	Fiber Borders:0206-0283	20.667	6.128	257	275	112.380	4.333	NaN
193	Fiber Borders:0207-0289	26.556	7.902	364	286	152.354	5.281	NaN
194	Fiber Borders:0208-0288	16.667	5.897	181	282	137.291	4.333	NaN
195	Fiber Borders:0209-0292	38.778	9.068	228	283	143.973	6.364	NaN
196	Fiber Borders:0210-0297	48.444	10.435	171	283	116.565	8.213	NaN
197	Fiber Borders:0211-0288	12.444	4.955	198	293	42.274	3.667	NaN
198	Fiber Borders:0212-0293	41.556	8.602	271	285	144.462	6.667	NaN
199	Fiber Borders:0213-0296	48.000	9.244	431	304	25.641	7.705	NaN
200	Fiber Borders:0214-0297	42.111	8.975	214	286	121.329	6.835	NaN
201	Fiber Borders:0215-0299	42.111	10.817	411	286	123.690	5.954	NaN
202	Fiber Borders:0216-0301	36.222	10.006	108	288	119.982	5.000	NaN
203	Fiber Borders:0217-0300	32.333	8.975	313	289	121.329	5.068	NaN
204	Fiber Borders:0218-0301	43.444	8.975	47	293	158.199	7.333	NaN
205	Fiber Borders:0219-0299	24.333	6.708	352	290	116.565	4.667	NaN
206	Fiber Borders:0220-0299	12.778	5.000	254	295	143.130	3.333	NaN
207	Fiber Borders:0221-0303	25.333	7.211	332	312	56.310	4.667	NaN
208	Fiber Borders:0222-0302	17.222	6.128	93	296	135.000	4.333	NaN
209	Fiber Borders:0223-0303	22.556	7.557	393	295	131.424	4.478	NaN
210	Fiber Borders:0224-0302	13.222	5.000	296	308	53.130	3.667	NaN
211	Fiber Borders:0225-0307	32.111	9.104	127	314	23.749	6.207	NaN
212	Fiber Borders:0226-0306	34.333	8.750	188	299	139.635	6.009	NaN
213	Fiber Borders:0227-0308	55.444	12.369	447	316	14.036	7.412	NaN
214	Fiber Borders:0230-0308	16.333	5.735	77	301	125.538	4.000	NaN
215	Fiber Borders:0231-0312	15.333	5.735	235	305	125.538	4.000	NaN
216	Fiber Borders:0232-0313	15.556	6.403	250	306	128.660	4.333	NaN
217	Fiber Borders:0233-0317	57.000	11.040	266	328	28.887	7.667	NaN
218	Fiber Borders:0234-0320	41.000	8.692	300	331	57.529	6.667	NaN
219	Fiber Borders:0235-0316	13.444	5.000	343	322	53.130	3.667	NaN
220	Fiber Borders:0236-0319	25.444	7.401	359	310	125.838	5.217	NaN
221	Fiber Borders:0237-0316	11.556	5.185	64	322	45.000	3.536	NaN
222	Fiber Borders:0238-0322	46.000	10.635	211	312	147.804	6.431	NaN
223	Fiber Borders:0239-0322	26.444	7.491	483	332	57.724	5.667	NaN
224	Fiber Borders:0240-0319	15.222	5.207	91	313	129.806	4.000	NaN
225	Fiber Borders:0241-0320	25.667	7.951	172	313	146.976	4.667	NaN
226	Fiber Borders:0243-0324	48.556	11.200	398	314	143.471	6.667	NaN
227	Fiber Borders:0244-0324	22.111	7.087	376	317	131.186	4.885	NaN
228	Fiber Borders:0245-0324	20.778	6.119	429	316	119.358	4.667	NaN
229	Fiber Borders:0246-0327	30.889	8.280	321	337	40.101	6.472	NaN
230	Fiber Borders:0247-0327	35.889	8.069	464	337	51.710	6.333	NaN
231	Fiber Borders:0248-0333	49.333	10.121	76	348	72.759	6.333	NaN
232	Fiber Borders:0249-0330	27.444	7.401	158	322	125.838	5.000	NaN
233	Fiber Borders:0250-0330	32.444	7.867	195	322	143.616	5.963	NaN
234	Fiber Borders:0251-0329	10.556	4.534	54	334	36.027	3.000	NaN
235	Fiber Borders:0252-0337	47.667	11.823	232	349	40.426	6.287	NaN
236	Fiber Borders:0253-0332	21.222	6.839	349	325	133.025	4.478	NaN
237	Fiber Borders:0254-0339	46.222	10.462	445	325	112.479	6.713	NaN
238	Fiber Borders:0255-0338	46.667	9.244	94	333	154.359	7.333	NaN
239	Fiber Borders:0256-0340	41.333	9.339	175	329	124.824	6.333	NaN
240	Fiber Borders:0257-0339	20.333	5.831	261	343	30.964	4.667	NaN
241	Fiber Borders:0258-0344	34.667	8.692	294	333	122.471	5.667	NaN
242	Fiber Borders:0259-0349	62.556	11.743	333	335	124.592	7.446	NaN
243	Fiber Borders:0262-0343	22.444	6.872	484	336	129.094	4.667	NaN
244	Fiber Borders:0263-0344	26.333	7.810	404	351	39.806	5.667	NaN
245	Fiber Borders:0264-0347	27.778	7.211	211	342	146.310	5.632	NaN
246	Fiber Borders:0265-0351	38.667	8.233	424	361	58.241	6.333	NaN
247	Fiber Borders:0267-0354	71.111	13.149	152	343	149.534	7.683	NaN
248	Fiber Borders:0269-0352	32.667	7.491	277	363	69.146	5.667	NaN
249	Fiber Borders:0270-0355	31.000	8.360	193	367	66.501	5.659	NaN
250	Fiber Borders:0271-0357	39.333	9.718	469	345	120.964	5.667	NaN
251	Fiber Borders:0273-0359	50.444	11.402	68	369	37.875	7.490	NaN
252	Fiber Borders:0274-0358	16.111	5.735	98	365	54.462	3.667	NaN
253	Fiber Borders:0275-0364	54.222	9.718	115	351	120.964	7.667	NaN
254	Fiber Borders:0276-0360	18.889	6.667	234	352	126.870	4.000	NaN
255	Fiber Borders:0277-0364	20.111	6.438	441	355	111.251	3.667	NaN
256	Fiber Borders:0278-0366	33.111	8.957	359	356	135.000	6.204	NaN
257	Fiber Borders:0279-0364	16.333	5.548	293	357	122.735	4.000	NaN
258	Fiber Borders:0280-0367	20.000	7.608	488	357	118.811	3.667	NaN
259	Fiber Borders:0281-0369	54.111	11.837	209	361	147.653	7.171	NaN
260	Fiber Borders:0282-0369	29.111	8.333	387	381	53.130	6.000	NaN
261	Fiber Borders:0283-0367	46.556	11.595	32	359	161.565	5.333	NaN
262	Fiber Borders:0284-0374	54.222	12.806	452	359	128.660	6.202	NaN
263	Fiber Borders:0285-0369	20.333	6.839	414	362	136.975	4.323	NaN
264	Fiber Borders:0286-0375	23.333	6.574	176	371	149.534	4.667	NaN
265	Fiber Borders:0287-0376	16.778	5.831	196	384	59.036	3.667	NaN
266	Fiber Borders:0288-0377	17.556	6.200	97	370	126.254	4.000	NaN
267	Fiber Borders:0290-0378	14.556	5.270	242	385	55.305	3.667	NaN
268	Fiber Borders:0291-0390	75.667	12.401	52	376	126.254	9.879	NaN
269	Fiber Borders:0292-0380	15.556	5.676	84	387	49.764	3.667	NaN
270	Fiber Borders:0294-0381	14.333	5.207	350	375	129.806	4.000	NaN
271	Fiber Borders:0295-0387	52.667	10.355	421	379	146.821	8.000	NaN
272	Fiber Borders:0296-0390	54.111	10.934	365	403	52.431	8.000	NaN
273	Fiber Borders:0297-0384	15.444	5.426	482	378	132.510	4.000	NaN
274	Fiber Borders:0298-0390	48.222	12.338	116	379	141.582	6.219	NaN
275	Fiber Borders:0300-0391	35.333	9.894	271	379	122.619	5.559	NaN
276	Fiber Borders:0301-0394	36.667	10.077	255	382	124.216	5.540	NaN
277	Fiber Borders:0302-0394	49.000	11.743	170	384	145.408	6.112	NaN
278	Fiber Borders:0303-0401	62.222	11.470	339	387	125.538	7.307	NaN
279	Fiber Borders:0304-0397	26.444	7.867	289	388	126.384	5.000	NaN
280	Fiber Borders:0305-0401	45.667	12.042	305	388	131.634	6.074	NaN
281	Fiber Borders:0306-0398	43.667	9.804	32	390	144.689	6.000	NaN
282	Fiber Borders:0307-0395	13.556	5.676	87	390	139.764	3.667	NaN
283	Fiber Borders:0308-0397	14.333	5.088	232	404	58.392	3.667	NaN
284	Fiber Borders:0309-0407	45.000	11.101	242	393	131.348	5.493	NaN
