 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
280	IIa	446.336	39.027	1309	582	144.782	19.810	NaN
281	I	1449.225	63.819	523	599	147.400	36.813	NaN
282	IIx	1572.339	66.823	190	598	153.914	35.228	NaN
283	IIa	1276.084	52.522	281	611	171.098	38.761	NaN
284	I	1005.234	47.775	1277	593	137.121	29.114	NaN
285	IIa	731.648	42.151	1144	590	144.660	24.860	NaN
286	IIa	587.820	41.718	1587	592	150.362	20.709	NaN
287	I	1046.272	57.814	1070	601	158.429	31.858	NaN
288	I/IIa	870.004	54.278	1528	591	147.225	23.662	NaN
289	I/IIa	286.875	23.929	1365	627	70.145	15.448	NaN
290	IIa	415.069	31.859	1916	592	105.945	19.997	NaN
291	IIa	1177.984	59.342	760	688	78.453	29.075	NaN
292	IIa	1422.258	59.309	1704	601	145.305	37.883	NaN
293	IIa	550.690	35.409	634	598	132.138	21.327	NaN
294	IIa	843.036	42.668	1484	608	140.947	27.525	NaN
295	IIa	1074.803	62.872	1656	608	131.775	33.641	NaN
296	IIa	814.505	46.469	691	609	137.726	25.759	NaN
297	IIa	896.972	43.784	1204	625	9.866	28.646	NaN
298	IIa	714.451	55.934	1029	611	154.867	20.403	NaN
299	IIa	1081.056	51.553	1391	606	129.094	33.434	NaN
300	IIa	1193.227	52.473	1831	654	21.675	34.143	NaN
301	IIa	1656.369	56.297	382	622	150.018	40.636	NaN
302	I	1185.410	70.203	606	613	140.782	26.609	NaN
303	IIa	1111.542	59.941	866	611	106.356	27.168	NaN
304	IIa	1428.902	56.780	478	627	151.742	36.986	NaN
305	I	1057.997	57.468	932	615	104.490	25.871	NaN
306	IIx	1929.956	60.354	112	623	140.042	42.744	NaN
307	IIa	459.625	34.013	682	620	126.027	21.025	NaN
308	IIa	695.691	50.735	886	620	112.457	17.655	NaN
309	IIa	576.876	44.580	993	629	157.751	19.851	NaN
310	IIa	705.462	51.874	957	628	139.399	20.388	NaN
311	IIa	596.418	34.333	1335	654	10.491	24.412	NaN
312	IIa	727.739	45.138	1606	629	143.448	24.461	NaN
313	I	1250.680	68.692	1276	632	130.941	27.075	NaN
314	IIa	989.991	44.637	336	653	142.970	28.710	NaN
315	I	1579.374	65.024	1467	638	146.768	37.133	NaN
316	IIa	710.933	35.596	805	637	120.619	28.133	NaN
317	IIx	937.228	46.654	1168	642	147.588	29.212	NaN
318	I	1071.676	50.422	1541	649	160.442	33.721	NaN
319	IIa	536.620	34.976	1119	646	151.144	24.382	NaN
320	IIx	1102.943	57.233	270	660	158.199	29.464	NaN
321	I	846.945	55.875	1240	657	130.462	25.946	NaN
322	I	1298.753	55.672	1717	652	145.061	35.871	NaN
323	IIa	679.666	41.938	1885	665	169.695	21.395	NaN
324	IIa	864.142	60.703	1094	653	122.381	23.581	NaN
325	I	1496.126	73.722	565	660	129.495	33.708	NaN
326	I	683.966	45.294	1372	671	159.814	23.407	NaN
327	I	899.708	57.332	1025	668	154.832	26.853	NaN
328	IIa	1205.343	49.939	200	711	34.287	36.606	NaN
329	I	1172.903	67.948	1806	663	154.378	28.424	NaN
330	IIa	732.039	51.268	1457	660	105.562	21.476	NaN
331	IIb	1058.779	52.767	959	662	143.673	33.722	NaN
332	IIa	2089.808	70.225	454	683	145.886	43.147	NaN
333	IIa	935.274	46.216	708	668	120.033	28.847	NaN
334	IIx	1015.396	64.222	1667	672	148.941	27.185	NaN
335	IIa	701.944	41.014	632	674	142.431	25.700	NaN
336	IIa	773.077	38.619	1157	684	150.945	29.725	NaN
337	IIa	196.982	19.770	273	677	124.695	14.379	NaN
338	IIb	212.225	26.265	405	678	128.234	14.343	NaN
339	IIa	1337.055	58.289	537	688	141.532	32.857	NaN
340	IIb	3073.155	110.832	753	827	54.876	66.232	NaN
341	IIa	1787.300	64.686	1910	697	145.235	38.847	NaN
342	I	1083.792	68.692	1636	684	130.941	25.640	NaN
343	IIa	870.786	55.934	1023	685	154.867	22.625	NaN
344	IIa	848.117	43.619	1215	695	152.700	25.640	NaN
345	IIx	1432.029	55.976	1795	700	159.744	36.217	NaN
346	IIa	721.095	37.138	770	691	126.098	29.385	NaN
347	I	883.293	48.077	1357	700	167.229	25.727	NaN
348	IIa	484.248	39.707	1299	692	123.440	17.572	NaN
349	IIx	124.677	15.056	178	697	138.366	11.253	NaN
350	IIa	635.893	43.010	1589	702	147.465	24.846	NaN
351	IIa	861.797	55.934	904	702	152.003	24.183	NaN
352	IIa	991.555	52.522	281	721	8.902	26.006	NaN
353	I	1759.550	65.416	333	773	38.403	40.149	NaN
354	IIa	1064.641	46.469	1533	715	160.346	32.657	NaN
355	I	967.714	43.105	873	706	109.486	30.203	NaN
356	IIb	217.696	20.287	430	741	56.310	16.254	NaN
357	I/IIa	76.604	12.330	1765	718	149.534	8.127	NaN
358	I	1334.319	47.203	648	751	11.459	41.261	NaN
359	IIa	664.033	45.603	1416	731	146.746	25.391	NaN
360	IIa	1288.200	55.808	164	735	170.327	31.210	NaN
361	I/IIa	420.541	33.281	994	726	151.991	16.606	NaN
362	I	1065.814	59.183	1186	730	148.829	27.821	NaN
363	IIa	817.241	46.216	1350	720	120.033	28.465	NaN
364	IIa	1464.077	52.996	1896	722	107.152	42.001	NaN
365	IIx	1590.709	59.902	237	779	18.246	43.762	NaN
366	IIa	873.522	41.128	1500	788	70.463	33.260	NaN
367	IIa	912.606	51.401	1159	727	131.055	29.176	NaN
368	IIx	313.843	33.886	1109	728	127.504	15.559	NaN
369	IIa	541.310	41.285	1275	731	122.005	20.806	NaN
370	IIa	740.246	37.765	1735	759	19.335	25.632	NaN
371	IIa	881.339	41.493	1048	735	120.816	32.432	NaN
372	I	638.628	38.866	731	797	78.871	22.471	NaN
373	IIa	968.886	42.054	911	740	131.987	35.346	NaN
374	IIa	1117.795	57.692	1592	754	150.101	29.124	NaN
375	I	275.150	27.143	994	744	151.074	16.315	NaN
376	IIa	1458.606	64.055	462	744	155.186	34.898	NaN
377	I	147.346	16.134	1712	765	54.462	11.878	NaN
378	IIb	71.132	14.648	826	746	140.194	8.561	NaN
379	IIb	2444.298	77.765	383	776	155.289	46.960	NaN
380	I	664.033	36.821	957	754	139.821	26.264	NaN
381	IIx	1296.017	51.904	1782	791	9.009	36.725	NaN
382	IIa	844.991	43.114	1393	756	150.461	27.396	NaN
383	IIa	1370.276	52.040	556	766	163.960	38.350	NaN
384	IIb	2405.605	82.097	1948	749	106.365	42.512	NaN
385	IIa	499.881	37.474	1316	760	152.152	23.511	NaN
386	IIa	426.404	39.643	845	755	142.046	17.878	NaN
387	I	1219.804	49.794	1524	773	141.116	38.607	NaN
388	IIa	739.465	47.402	641	761	131.257	22.439	NaN
389	IIa	528.021	37.614	1022	820	68.552	22.506	NaN
390	IIa	846.554	44.400	1089	797	9.728	28.396	NaN
391	I	1592.272	76.458	1581	769	150.081	33.413	NaN
392	IIa	750.408	50.096	1684	769	119.124	24.153	NaN
393	I	1107.633	54.393	1721	770	142.472	32.733	NaN
394	I	945.436	49.341	1217	780	157.659	28.887	NaN
395	IIa	1373.012	54.343	299	820	23.025	33.552	NaN
396	IIx	1548.498	66.295	1843	811	159.001	35.930	NaN
397	IIx	990.382	46.771	853	790	142.058	33.509	NaN
398	IIa	652.699	34.128	703	790	118.443	27.507	NaN
399	IIa	1451.180	57.059	223	805	147.529	36.525	NaN
400	IIx	1295.626	58.476	502	832	6.137	31.485	NaN
401	IIa	1120.140	48.655	1040	805	152.447	37.449	NaN
402	IIa	678.885	39.242	1185	802	149.349	25.640	NaN
403	IIa	754.707	43.426	913	805	157.126	25.632	NaN
404	IIa	905.570	51.222	988	799	109.983	23.899	NaN
405	IIb	242.319	28.907	1381	804	158.429	14.942	NaN
406	I	1347.608	55.738	1110	821	156.886	38.255	NaN
407	IIa	1210.033	59.440	607	824	165.379	27.904	NaN
408	IIb	205.581	25.540	1421	801	158.459	12.503	NaN
409	IIa	780.112	42.677	1509	807	121.827	27.331	NaN
